block,trialno,stim1,stim2,matching,mask,duration,nframes,SF,background,staircasenr,rt,acc,contrast
block-1,0,ID05_IM01.bmp,ID04_IM05.bmp,diff,BG01_ID05_IM01_HSF.bmp,150,9,HSF,BG01.bmp,1,0.14423810000153026,0,33.00978026836224
block-1,1,ID04_IM04.bmp,ID02_IM05.bmp,diff,BG01_ID04_IM04_HSF.bmp,150,9,HSF,BG01.bmp,1,0.33478939999986324,0,33.80827233696996
block-1,2,ID05_IM06.bmp,ID02_IM05.bmp,diff,BG01_ID05_IM06_HSF.bmp,150,9,HSF,BG01.bmp,1,0.15114579999863054,0,35.463669215708045
block-1,3,ID05_IM03.bmp,ID05_IM01.bmp,same,BG02_ID05_IM03_HSF.bmp,150,9,HSF,BG02.bmp,2,0.23330599999826518,1,33.00978026836224
block-1,4,ID01_IM06.bmp,ID01_IM01.bmp,same,BG01_ID01_IM06_HSF.bmp,150,9,HSF,BG01.bmp,1,0.167993099999876,1,38.09997594702428
block-1,5,ID01_IM04.bmp,ID01_IM03.bmp,same,BG02_ID01_IM04_HSF.bmp,150,9,HSF,BG02.bmp,2,0.1211713000011514,1,33.00978026836224
block-1,6,ID01_IM01.bmp,ID01_IM02.bmp,same,BG01_ID01_IM01_HSF.bmp,150,9,HSF,BG01.bmp,1,0.12480169999980717,1,37.2001213698776
block-1,7,ID05_IM04.bmp,ID05_IM01.bmp,same,BG01_ID05_IM04_HSF.bmp,150,9,HSF,BG01.bmp,1,0.5103309999976773,1,37.2001213698776
block-1,8,ID03_IM02.bmp,ID05_IM06.bmp,diff,BG02_ID03_IM02_HSF.bmp,150,9,HSF,BG02.bmp,2,0.12939030000052298,0,33.00978026836224
block-1,9,ID01_IM02.bmp,ID04_IM05.bmp,diff,BG01_ID01_IM02_HSF.bmp,150,9,HSF,BG01.bmp,1,0.16474679999737418,0,37.2001213698776
block-1,10,ID04_IM02.bmp,ID02_IM01.bmp,diff,BG02_ID04_IM02_HSF.bmp,150,9,HSF,BG02.bmp,2,0.34242940000331146,0,33.80827233696996
block-1,11,ID04_IM02.bmp,ID05_IM06.bmp,diff,BG02_ID04_IM02_HSF.bmp,150,9,HSF,BG02.bmp,2,0.20730870000261348,0,35.463669215708045
block-1,12,ID01_IM05.bmp,ID01_IM04.bmp,same,BG02_ID01_IM05_HSF.bmp,150,9,HSF,BG02.bmp,2,0.15716840000095544,1,37.2001213698776
block-1,13,ID04_IM02.bmp,ID04_IM03.bmp,same,BG01_ID04_IM02_HSF.bmp,150,9,HSF,BG01.bmp,1,0.01456750000215834,1,39.965512897095856
block-1,14,ID05_IM06.bmp,ID05_IM03.bmp,same,BG02_ID05_IM06_HSF.bmp,150,9,HSF,BG02.bmp,2,0.19877529999939725,1,37.2001213698776
block-1,15,ID05_IM04.bmp,ID03_IM03.bmp,diff,BG02_ID05_IM04_HSF.bmp,150,9,HSF,BG02.bmp,2,0.1317302000024938,0,37.2001213698776
block-1,0,ID05_IM01.bmp,ID04_IM05.bmp,diff,BG01_ID05_IM01_HSF.bmp,150,9,HSF,BG01.bmp,1,0.567858200000046,0,39.965512897095856
block-1,1,ID04_IM04.bmp,ID02_IM05.bmp,diff,BG01_ID04_IM04_HSF.bmp,150,9,HSF,BG01.bmp,1,0.1812857000004442,0,42.93647876163339
block-1,2,ID05_IM06.bmp,ID02_IM05.bmp,diff,BG01_ID05_IM06_HSF.bmp,150,9,HSF,BG01.bmp,1,0.08312579999983427,0,46.128300997787484
block-1,3,ID05_IM03.bmp,ID05_IM01.bmp,same,BG02_ID05_IM03_HSF.bmp,150,9,HSF,BG02.bmp,2,0.13607369999954244,1,39.965512897095856
block-1,4,ID01_IM06.bmp,ID01_IM01.bmp,same,BG01_ID01_IM06_HSF.bmp,150,9,HSF,BG01.bmp,1,0.2668453000005684,1,51.983938752497416
block-1,5,ID01_IM04.bmp,ID01_IM03.bmp,same,BG02_ID01_IM04_HSF.bmp,150,9,HSF,BG02.bmp,2,0.2004917000012938,1,39.965512897095856
block-1,6,ID01_IM01.bmp,ID01_IM02.bmp,same,BG01_ID01_IM01_HSF.bmp,150,9,HSF,BG01.bmp,1,0.23225219999949331,1,50.75616933632799
block-1,7,ID05_IM04.bmp,ID05_IM01.bmp,same,BG01_ID05_IM04_HSF.bmp,150,9,HSF,BG01.bmp,1,0.10076929999922868,1,50.75616933632799
block-1,8,ID03_IM02.bmp,ID05_IM06.bmp,diff,BG02_ID03_IM02_HSF.bmp,150,9,HSF,BG02.bmp,2,0.32898240000213264,0,39.02159761068017
block-1,9,ID01_IM02.bmp,ID04_IM05.bmp,diff,BG01_ID01_IM02_HSF.bmp,150,9,HSF,BG01.bmp,1,0.4198613000007754,0,50.75616933632799
block-1,10,ID04_IM02.bmp,ID02_IM01.bmp,diff,BG02_ID04_IM02_HSF.bmp,150,9,HSF,BG02.bmp,2,0.3624344999989262,0,41.92239447470527
block-1,11,ID04_IM02.bmp,ID05_IM06.bmp,diff,BG02_ID04_IM02_HSF.bmp,150,9,HSF,BG02.bmp,2,0.17708630000197445,0,46.128300997787484
block-1,12,ID01_IM05.bmp,ID01_IM04.bmp,same,BG02_ID01_IM05_HSF.bmp,150,9,HSF,BG02.bmp,2,0.11151640000025509,1,50.75616933632799
block-1,13,ID04_IM02.bmp,ID04_IM03.bmp,same,BG01_ID04_IM02_HSF.bmp,150,9,HSF,BG01.bmp,1,0.2600259000028018,1,55.84833323519912
block-1,14,ID05_IM06.bmp,ID05_IM03.bmp,same,BG02_ID05_IM06_HSF.bmp,150,9,HSF,BG02.bmp,2,0.12988019999829703,1,50.75616933632799
block-1,15,ID05_IM04.bmp,ID03_IM03.bmp,diff,BG02_ID05_IM04_HSF.bmp,150,9,HSF,BG02.bmp,2,0.0664610999992874,0,49.55739767937915
block-1,0,ID05_IM01.bmp,ID04_IM05.bmp,diff,BG01_ID05_IM01_HSF.bmp,150,9,HSF,BG01.bmp,1,0.4085750999984157,0,55.84833323519912
block-1,1,ID04_IM04.bmp,ID02_IM05.bmp,diff,BG01_ID04_IM04_HSF.bmp,150,9,HSF,BG01.bmp,1,0.14164879999952973,0,60.0
block-1,2,ID05_IM06.bmp,ID02_IM05.bmp,diff,BG01_ID05_IM06_HSF.bmp,150,9,HSF,BG01.bmp,1,0.7809325999987777,0,60.0
block-1,3,ID05_IM03.bmp,ID05_IM01.bmp,same,BG02_ID05_IM03_HSF.bmp,150,9,HSF,BG02.bmp,2,0.32575749999887194,1,55.84833323519912
block-1,4,ID01_IM06.bmp,ID01_IM01.bmp,same,BG01_ID01_IM06_HSF.bmp,150,9,HSF,BG01.bmp,1,0.1607966999981727,1,60.0
block-1,5,ID01_IM04.bmp,ID01_IM03.bmp,same,BG02_ID01_IM04_HSF.bmp,150,9,HSF,BG02.bmp,2,0.1469531000002462,1,54.5292936022717
block-1,6,ID01_IM01.bmp,ID01_IM02.bmp,same,BG01_ID01_IM01_HSF.bmp,150,9,HSF,BG01.bmp,1,0.11771750000116299,1,60.0
block-1,7,ID05_IM04.bmp,ID05_IM01.bmp,same,BG01_ID05_IM04_HSF.bmp,150,9,HSF,BG01.bmp,1,0.15001660000052652,1,60.0
block-1,8,ID03_IM02.bmp,ID05_IM06.bmp,diff,BG02_ID03_IM02_HSF.bmp,150,9,HSF,BG02.bmp,2,0.1844511000017519,0,54.5292936022717
block-1,9,ID01_IM02.bmp,ID04_IM05.bmp,diff,BG01_ID01_IM02_HSF.bmp,150,9,HSF,BG01.bmp,1,0.3931850000008126,0,60.0
block-1,10,ID04_IM02.bmp,ID02_IM01.bmp,diff,BG02_ID04_IM02_HSF.bmp,150,9,HSF,BG02.bmp,2,0.0015456000000995118,0,60.0
block-1,11,ID04_IM02.bmp,ID05_IM06.bmp,diff,BG02_ID04_IM02_HSF.bmp,150,9,HSF,BG02.bmp,2,0.13493069999822183,0,60.0
block-1,12,ID01_IM05.bmp,ID01_IM04.bmp,same,BG02_ID01_IM05_HSF.bmp,150,9,HSF,BG02.bmp,2,0.47160360000270884,1,60.0
block-1,13,ID04_IM02.bmp,ID04_IM03.bmp,same,BG01_ID04_IM02_HSF.bmp,150,9,HSF,BG01.bmp,1,0.012737599998217775,1,60.0
block-1,14,ID05_IM06.bmp,ID05_IM03.bmp,same,BG02_ID05_IM06_HSF.bmp,150,9,HSF,BG02.bmp,2,0.164039799998136,1,60.0
block-1,15,ID05_IM04.bmp,ID03_IM03.bmp,diff,BG02_ID05_IM04_HSF.bmp,150,9,HSF,BG02.bmp,2,0.1790822000002663,0,60.0
block-1,0,ID05_IM01.bmp,ID04_IM05.bmp,diff,BG01_ID05_IM01_HSF.bmp,150,9,HSF,BG01.bmp,1,0.26064580000092974,0,60.0
block-1,1,ID04_IM04.bmp,ID02_IM05.bmp,diff,BG01_ID04_IM04_HSF.bmp,150,9,HSF,BG01.bmp,1,0.19186959999933606,0,60.0
block-1,2,ID05_IM06.bmp,ID02_IM05.bmp,diff,BG01_ID05_IM06_HSF.bmp,150,9,HSF,BG01.bmp,1,0.09369880000303965,0,60.0
block-1,3,ID05_IM03.bmp,ID05_IM01.bmp,same,BG02_ID05_IM03_HSF.bmp,150,9,HSF,BG02.bmp,2,0.29036899999846355,1,60.0
block-1,4,ID01_IM06.bmp,ID01_IM01.bmp,same,BG01_ID01_IM06_HSF.bmp,150,9,HSF,BG01.bmp,1,0.6713156000005256,1,60.0
block-1,5,ID01_IM04.bmp,ID01_IM03.bmp,same,BG02_ID01_IM04_HSF.bmp,150,9,HSF,BG02.bmp,2,0.12440649999916786,1,60.0
block-1,6,ID01_IM01.bmp,ID01_IM02.bmp,same,BG01_ID01_IM01_HSF.bmp,150,9,HSF,BG01.bmp,1,0.14387820000047213,1,60.0
block-1,7,ID05_IM04.bmp,ID05_IM01.bmp,same,BG01_ID05_IM04_HSF.bmp,150,9,HSF,BG01.bmp,1,0.5285529000029783,1,60.0
block-1,8,ID03_IM02.bmp,ID05_IM06.bmp,diff,BG02_ID03_IM02_HSF.bmp,150,9,HSF,BG02.bmp,2,0.30759580000085407,0,60.0
block-1,9,ID01_IM02.bmp,ID04_IM05.bmp,diff,BG01_ID01_IM02_HSF.bmp,150,9,HSF,BG01.bmp,1,5.615416600001481,0,60.0
