block,trialno,stim1,stim2,matching,mask,duration,nframes,SF,background,staircasenr,rt,acc,contrast
block-1,0,ID02_IM03.bmp,ID04_IM03.bmp,diff,BG01_ID02_IM03_HSF.bmp,150,9,HSF,BG01.bmp,1,1.8353691999982402,0,33.00978026836224
block-1,1,ID03_IM04.bmp,ID01_IM03.bmp,diff,BG02_ID03_IM04_HSF.bmp,150,9,HSF,BG02.bmp,2,0.505308600000717,0,33.00978026836224
block-1,2,ID05_IM04.bmp,ID05_IM01.bmp,same,BG01_ID05_IM04_HSF.bmp,150,9,HSF,BG01.bmp,1,0.4611498999984178,1,33.80827233696996
block-1,3,ID04_IM03.bmp,ID03_IM04.bmp,diff,BG01_ID04_IM03_HSF.bmp,150,9,HSF,BG01.bmp,1,0.38430959999823244,0,33.80827233696996
block-1,4,ID03_IM02.bmp,ID02_IM01.bmp,diff,BG02_ID03_IM02_HSF.bmp,150,9,HSF,BG02.bmp,2,5.784928700002638,0,33.80827233696996
block-1,5,ID02_IM06.bmp,ID02_IM01.bmp,same,BG02_ID02_IM06_HSF.bmp,150,9,HSF,BG02.bmp,2,2.2886682000025758,1,35.463669215708045
block-1,6,ID02_IM01.bmp,ID02_IM04.bmp,same,BG01_ID02_IM01_HSF.bmp,150,9,HSF,BG01.bmp,1,0.7159771000006003,1,35.463669215708045
block-1,7,ID03_IM05.bmp,ID03_IM04.bmp,same,BG02_ID03_IM05_HSF.bmp,150,9,HSF,BG02.bmp,2,0.48709840000083204,1,35.463669215708045
