block,trialno,stim1,stim2,matching,mask,duration,nframes,SF,background,staircasenr,rt,acc,contrast
block-1,0,ID01_IM05.bmp,ID01_IM03.bmp,same,BG02_ID01_IM05_HSF.bmp,150,9,HSF,BG02.bmp,2,1.281441500002984,1,33.00978026836224
block-1,1,ID04_IM05.bmp,ID05_IM05.bmp,diff,BG02_ID04_IM05_HSF.bmp,150,9,HSF,BG02.bmp,2,1.0750926000036998,1,33.00978026836224
block-1,2,ID02_IM03.bmp,ID02_IM04.bmp,same,BG02_ID02_IM03_HSF.bmp,150,9,HSF,BG02.bmp,2,0.7916614999994636,1,33.00978026836224
block-1,3,ID05_IM05.bmp,ID01_IM03.bmp,diff,BG01_ID05_IM05_HSF.bmp,150,9,HSF,BG01.bmp,1,2.0112962999992305,0,33.00978026836224
