block,trialno,stim1,stim2,matching,mask,duration,nframes,SF,background,staircasenr,rt,acc,contrast
block-1,0,ID01_IM02.bmp,ID02_IM03.bmp,diff,BG02_ID01_IM02_HSF.bmp,150,9,HSF,BG02.bmp,1,1.5914282000157982,1,33.00978026836224
block-1,1,ID05_IM02.bmp,ID04_IM04.bmp,diff,BG02_ID05_IM02_HSF.bmp,150,9,HSF,BG02.bmp,1,0.8663157999981195,1,33.00978026836224
block-1,2,ID05_IM05.bmp,ID05_IM01.bmp,same,BG02_ID05_IM05_HSF.bmp,150,9,HSF,BG02.bmp,2,0.703291799989529,1,33.00978026836224
block-1,3,ID05_IM06.bmp,ID04_IM01.bmp,diff,BG02_ID05_IM06_HSF.bmp,150,9,HSF,BG02.bmp,1,0.6226192000031006,1,33.00978026836224
block-1,4,ID05_IM03.bmp,ID05_IM04.bmp,same,BG02_ID05_IM03_HSF.bmp,150,9,HSF,BG02.bmp,2,1.0097085000015795,1,33.00978026836224
block-1,5,ID04_IM05.bmp,ID05_IM02.bmp,diff,BG02_ID04_IM05_HSF.bmp,150,9,HSF,BG02.bmp,2,0.8860004000016488,1,33.00978026836224
block-1,6,ID01_IM06.bmp,ID05_IM02.bmp,diff,BG02_ID01_IM06_HSF.bmp,150,9,HSF,BG02.bmp,1,1.3437752000172623,1,33.00978026836224
block-1,7,ID02_IM01.bmp,ID02_IM06.bmp,same,BG02_ID02_IM01_HSF.bmp,150,9,HSF,BG02.bmp,2,0.8715046000143047,0,33.00978026836224
block-1,8,ID02_IM04.bmp,ID03_IM01.bmp,diff,BG02_ID02_IM04_HSF.bmp,150,9,HSF,BG02.bmp,2,0.7339159999974072,1,33.80827233696996
block-1,9,ID02_IM06.bmp,ID02_IM05.bmp,same,BG02_ID02_IM06_HSF.bmp,150,9,HSF,BG02.bmp,1,1.1164935000124387,1,33.00978026836224
block-1,10,ID05_IM05.bmp,ID05_IM03.bmp,same,BG02_ID05_IM05_HSF.bmp,150,9,HSF,BG02.bmp,2,0.7607772999908775,0,33.80827233696996
block-1,11,ID05_IM03.bmp,ID03_IM04.bmp,diff,BG02_ID05_IM03_HSF.bmp,150,9,HSF,BG02.bmp,2,0.7575229000067338,1,34.6260795775796
block-1,12,ID01_IM04.bmp,ID01_IM01.bmp,same,BG02_ID01_IM04_HSF.bmp,150,9,HSF,BG02.bmp,1,0.9243480000004638,0,33.00978026836224
