block,trialno,stim1,stim2,matching,mask,duration,nframes,SF,background,staircasenr,rt,acc,contrast
block-1,0,ID05_IM04.bmp,ID03_IM04.bmp,diff,BG01_ID05_IM04_HSF.bmp,150,9,HSF,BG01.bmp,1,7.12052489999769,0,33.00978026836224
block-1,1,ID05_IM05.bmp,ID05_IM02.bmp,same,BG01_ID05_IM05_HSF.bmp,150,9,HSF,BG01.bmp,1,0.8262930000018969,1,33.80827233696996
block-1,2,ID05_IM03.bmp,ID05_IM01.bmp,same,BG01_ID05_IM03_HSF.bmp,150,9,HSF,BG01.bmp,1,1.0864114000032714,0,33.80827233696996
block-1,3,ID01_IM02.bmp,ID04_IM02.bmp,diff,BG02_ID01_IM02_HSF.bmp,150,9,HSF,BG02.bmp,2,0.26703660000202945,0,33.00978026836224
