block,trialno,stim1,stim2,matching,mask,duration,nframes,SF,background,staircasenr,rt,acc,contrast
block-1,0,ID05_IM02.bmp,ID05_IM06.bmp,same,BG02_ID05_IM02_HSF.bmp,150,9,HSF,BG02.bmp,1,1.0791270000045188,1,33.00978026836224
block-1,1,ID01_IM02.bmp,ID04_IM06.bmp,diff,BG02_ID01_IM02_HSF.bmp,150,9,HSF,BG02.bmp,1,1.1716491999977734,1,33.00978026836224
block-1,2,ID03_IM05.bmp,ID03_IM02.bmp,same,BG02_ID03_IM05_HSF.bmp,150,9,HSF,BG02.bmp,1,0.6576654000091366,1,33.00978026836224
block-1,3,ID04_IM02.bmp,ID04_IM06.bmp,same,BG02_ID04_IM02_HSF.bmp,150,9,HSF,BG02.bmp,2,0.5531059000059031,1,33.00978026836224
block-1,4,ID05_IM02.bmp,ID05_IM01.bmp,same,BG02_ID05_IM02_HSF.bmp,150,9,HSF,BG02.bmp,2,0.5543696999957319,0,33.00978026836224
block-1,5,ID02_IM04.bmp,ID02_IM02.bmp,same,BG02_ID02_IM04_HSF.bmp,150,9,HSF,BG02.bmp,2,1.0776669000042602,1,33.80827233696996
