block,trialno,stim1,stim2,matching,mask,duration,nframes,SF,background,staircasenr,rt,acc,contrast
block-1,0,ID04_IM05.bmp,ID02_IM04.bmp,diff,BG02_ID04_IM05_HSF.bmp,150,9,HSF,BG02.bmp,2,1.9530469000019366,0,33.00978026836224
block-1,1,ID04_IM06.bmp,ID04_IM02.bmp,same,BG02_ID04_IM06_HSF.bmp,150,9,HSF,BG02.bmp,2,1.0947851999953855,1,33.80827233696996
block-1,2,ID04_IM01.bmp,ID01_IM06.bmp,diff,BG02_ID04_IM01_HSF.bmp,150,9,HSF,BG02.bmp,2,1.3592058999929577,0,33.80827233696996
block-1,3,ID02_IM03.bmp,ID02_IM01.bmp,same,BG01_ID02_IM03_HSF.bmp,150,9,HSF,BG01.bmp,1,0.6370722999999998,1,33.00978026836224
block-1,4,ID03_IM02.bmp,ID04_IM02.bmp,diff,BG01_ID03_IM02_HSF.bmp,150,9,HSF,BG01.bmp,1,2.3224882999929832,0,33.00978026836224
