block,trialno,stim1,stim2,matching,mask,duration,nframes,SF,background,staircasenr,rt,acc,contrast
block-1,0,ID05_IM03.bmp,ID04_IM02.bmp,diff,BG02_ID05_IM03_HSF.bmp,150,9,HSF,BG02.bmp,2,3.1936650999996345,0,33.00978026836224
block-1,1,ID02_IM05.bmp,ID02_IM01.bmp,same,BG02_ID02_IM05_HSF.bmp,150,9,HSF,BG02.bmp,2,2.1536544999980833,0,33.80827233696996
block-1,2,ID03_IM04.bmp,ID05_IM05.bmp,diff,BG02_ID03_IM04_HSF.bmp,150,9,HSF,BG02.bmp,2,1.1578380000137258,1,35.463669215708045
block-1,3,ID03_IM05.bmp,ID02_IM05.bmp,diff,BG01_ID03_IM05_HSF.bmp,150,9,HSF,BG01.bmp,1,1.21239109999442,1,33.00978026836224
block-1,4,ID02_IM02.bmp,ID02_IM03.bmp,same,BG02_ID02_IM02_HSF.bmp,150,9,HSF,BG02.bmp,2,0.9117926999897463,0,35.463669215708045
block-1,5,ID02_IM04.bmp,ID01_IM01.bmp,diff,BG02_ID02_IM04_HSF.bmp,150,9,HSF,BG02.bmp,2,0.9423182000027737,1,37.2001213698776
block-1,6,ID02_IM01.bmp,ID02_IM05.bmp,same,BG01_ID02_IM01_HSF.bmp,150,9,HSF,BG01.bmp,1,0.6353842999960762,0,33.00978026836224
block-1,7,ID05_IM01.bmp,ID01_IM06.bmp,diff,BG01_ID05_IM01_HSF.bmp,150,9,HSF,BG01.bmp,1,0.2125987999897916,1,33.80827233696996
block-1,8,ID03_IM05.bmp,ID05_IM04.bmp,diff,BG01_ID03_IM05_HSF.bmp,150,9,HSF,BG01.bmp,1,0.3353862000076333,1,33.80827233696996
block-1,9,ID02_IM03.bmp,ID02_IM04.bmp,same,BG02_ID02_IM03_HSF.bmp,150,9,HSF,BG02.bmp,2,0.3935672999941744,0,37.2001213698776
block-1,10,ID02_IM05.bmp,ID03_IM05.bmp,diff,BG02_ID02_IM05_HSF.bmp,150,9,HSF,BG02.bmp,2,0.36329209999530576,1,39.965512897095856
block-1,11,ID04_IM02.bmp,ID05_IM04.bmp,diff,BG01_ID04_IM02_HSF.bmp,150,9,HSF,BG01.bmp,1,36.89951529999962,0,33.80827233696996
block-1,12,ID05_IM05.bmp,ID05_IM01.bmp,same,BG01_ID05_IM05_HSF.bmp,150,9,HSF,BG01.bmp,1,0.4670719999994617,1,35.463669215708045
block-1,13,ID03_IM04.bmp,ID03_IM05.bmp,same,BG01_ID03_IM04_HSF.bmp,150,9,HSF,BG01.bmp,1,0.49572039999475237,1,34.6260795775796
block-1,14,ID01_IM06.bmp,ID01_IM02.bmp,same,BG01_ID01_IM06_HSF.bmp,150,9,HSF,BG01.bmp,1,0.409556500002509,1,34.6260795775796
block-1,15,ID03_IM02.bmp,ID03_IM06.bmp,same,BG02_ID03_IM02_HSF.bmp,150,9,HSF,BG02.bmp,2,0.41267920000245795,1,39.965512897095856
block-1,0,ID05_IM03.bmp,ID04_IM02.bmp,diff,BG02_ID05_IM03_HSF.bmp,150,9,HSF,BG02.bmp,2,0.7335385999904247,0,39.965512897095856
block-1,1,ID02_IM05.bmp,ID02_IM01.bmp,same,BG02_ID02_IM05_HSF.bmp,150,9,HSF,BG02.bmp,2,0.6574810000020079,1,42.93647876163339
block-1,2,ID03_IM04.bmp,ID05_IM05.bmp,diff,BG02_ID03_IM04_HSF.bmp,150,9,HSF,BG02.bmp,2,0.4689444999967236,0,41.92239447470527
