block,trialno,stim1,stim2,matching,mask,duration,nframes,SF,background,staircasenr,rt,acc,contrast
block-1,0,ID04_IM06.bmp,ID05_IM01.bmp,diff,BG02_ID04_IM06_HSF.bmp,150,9,HSF,BG02.bmp,2,1.7312902999983635,0,33.00978026836224
block-1,1,ID04_IM06.bmp,ID04_IM03.bmp,same,BG01_ID04_IM06_HSF.bmp,150,9,HSF,BG01.bmp,1,1.1004635999997845,1,33.00978026836224
block-1,2,ID03_IM03.bmp,ID03_IM06.bmp,same,BG01_ID03_IM03_HSF.bmp,150,9,HSF,BG01.bmp,1,1.5462504000024637,1,33.00978026836224
block-1,3,ID04_IM04.bmp,ID01_IM05.bmp,diff,BG01_ID04_IM04_HSF.bmp,150,9,HSF,BG01.bmp,1,0.7474476000061259,1,33.00978026836224
block-1,4,ID05_IM05.bmp,ID01_IM02.bmp,diff,BG01_ID05_IM05_HSF.bmp,150,9,HSF,BG01.bmp,1,0.6182100000005448,0,33.00978026836224
block-1,5,ID03_IM05.bmp,ID01_IM04.bmp,diff,BG02_ID03_IM05_HSF.bmp,150,9,HSF,BG02.bmp,2,0.8346885999926599,1,33.80827233696996
block-1,6,ID02_IM04.bmp,ID01_IM03.bmp,diff,BG01_ID02_IM04_HSF.bmp,150,9,HSF,BG01.bmp,1,0.7215175000019372,1,33.80827233696996
