block,trialno,stim1,stim2,matching,mask,duration,nframes,SF,background,staircasenr,rt,acc,contrast
block-1,0,ID04_IM03.bmp,ID04_IM04.bmp,same,BG01_ID04_IM03_HSF.bmp,150,9,HSF,BG01.bmp,1,3.516058300010627,1,33.00978026836224
block-1,1,ID03_IM04.bmp,ID03_IM03.bmp,same,BG02_ID03_IM04_HSF.bmp,150,9,HSF,BG02.bmp,2,2.5635967000125675,0,33.00978026836224
block-1,2,ID02_IM05.bmp,ID03_IM06.bmp,diff,BG02_ID02_IM05_HSF.bmp,150,9,HSF,BG02.bmp,2,0.31807449999905657,1,33.80827233696996
block-1,3,ID02_IM03.bmp,ID04_IM05.bmp,diff,BG02_ID02_IM03_HSF.bmp,150,9,HSF,BG02.bmp,2,1.1246414000052027,1,33.80827233696996
block-1,4,ID04_IM03.bmp,ID04_IM02.bmp,same,BG01_ID04_IM03_HSF.bmp,150,9,HSF,BG01.bmp,1,1.35855079999601,0,33.00978026836224
