block,trialno,stim1,stim2,matching,mask,duration,nframes,SF,background,staircasenr,rt,acc,contrast
block-1,0,ID04_IM02.bmp,ID01_IM05.bmp,diff,BG02_ID04_IM02_HSF.bmp,150,9,HSF,BG02.bmp,2,1.746394899993902,0,33.00978026836224
block-1,1,ID05_IM01.bmp,ID05_IM05.bmp,same,BG01_ID05_IM01_HSF.bmp,150,9,HSF,BG01.bmp,1,0.9244388000079198,1,33.00978026836224
block-1,2,ID03_IM04.bmp,ID03_IM06.bmp,same,BG02_ID03_IM04_HSF.bmp,150,9,HSF,BG02.bmp,2,0.5211341999965953,0,33.80827233696996
block-1,3,ID05_IM06.bmp,ID04_IM04.bmp,diff,BG01_ID05_IM06_HSF.bmp,150,9,HSF,BG01.bmp,1,0.30809160000353586,1,33.00978026836224
